sex;address;Pstatus;studytime;failures;romantic;famrel;freetime;goout;absences;Dalc;Walc
F;U;T;3;0;no;3;4;4;2;2;4
F;U;T;2;0;yes;4;4;4;0;2;4
F;U;T;2;0;no;5;4;3;2;1;2
M;U;A;4;0;yes;1;3;3;4;5;5
F;U;T;4;0;no;4;3;3;4;1;2
F;R;T;2;0;no;4;1;3;2;1;3
F;R;T;4;0;no;4;4;2;12;2;3
M;U;T;4;0;no;4;3;2;0;1;1
M;U;T;4;0;no;3;3;3;0;1;1
F;R;T;2;2;yes;3;3;4;2;2;4
M;U;T;1;0;no;5;3;2;2;2;2
F;U;T;2;0;no;4;3;3;54;2;4
M;U;T;2;0;no;4;3;3;6;2;3
M;U;T;4;0;no;3;4;3;8;1;1
F;U;T;4;0;yes;5;2;3;0;1;3
M;U;T;1;3;no;4;5;1;2;1;1
F;U;T;2;0;no;2;4;3;12;1;2
M;U;T;1;0;yes;3;2;2;2;1;3
M;U;T;3;0;no;5;3;2;4;1;2
F;U;T;2;0;no;4;4;4;10;1;1
M;U;T;2;0;no;5;3;3;4;1;3
F;U;T;2;0;no;4;3;2;2;2;3
F;U;T;2;2;yes;4;4;4;6;2;3
F;U;T;2;0;no;4;3;4;4;1;2
F;U;T;3;0;no;5;3;3;4;1;3
M;U;T;2;1;no;4;4;2;12;1;1
M;U;A;2;0;no;4;1;3;18;3;5
F;U;T;3;0;yes;4;3;3;0;1;3
F;U;T;1;0;no;4;5;5;4;1;3
F;U;T;2;0;no;3;3;3;4;2;3
F;U;T;2;0;no;5;3;3;0;1;1
M;U;T;4;0;no;4;3;4;6;1;1
F;R;T;4;1;no;3;1;2;2;1;1
M;R;T;1;0;no;3;3;3;2;1;1
F;U;T;2;0;yes;4;3;5;2;1;1
F;U;T;1;0;no;5;3;4;6;1;2
F;U;T;3;0;no;5;3;5;0;1;1
M;U;T;1;0;no;4;5;5;14;5;5
M;U;T;3;0;yes;4;4;3;0;1;1
M;U;T;1;0;no;5;3;3;4;1;1
F;U;T;2;0;no;4;3;5;26;1;1
M;U;A;2;0;no;5;4;4;0;1;1
F;U;A;4;0;no;4;3;3;10;1;1
F;U;T;4;0;no;5;1;2;8;1;1
M;U;T;3;0;no;5;3;3;2;1;1
M;R;T;4;0;yes;1;3;5;6;3;5
F;U;T;3;0;yes;5;4;5;4;1;1
M;U;A;1;0;no;5;5;3;6;1;1
F;R;T;3;1;no;4;1;2;0;1;1
F;U;T;2;1;no;3;1;2;6;1;1
M;U;T;1;0;no;3;5;2;10;1;1
M;R;T;2;0;yes;5;4;2;8;1;1
M;U;T;2;0;no;5;4;4;2;1;2
M;U;T;2;0;no;4;4;3;2;1;1
M;U;T;1;0;no;5;4;2;0;1;1
M;R;T;2;1;no;5;2;4;20;1;4
M;U;T;1;0;no;3;4;3;6;1;2
F;U;T;2;0;no;3;2;3;2;1;2
M;U;T;4;0;no;5;5;4;6;1;2
F;U;T;2;0;yes;4;2;2;2;1;2
M;U;T;1;0;no;3;4;4;18;1;4
F;U;T;2;0;yes;5;4;4;0;1;1
M;U;T;1;0;no;5;5;5;0;3;2
F;U;A;2;0;yes;5;3;2;0;1;1
F;U;T;2;3;no;3;4;2;2;1;1
M;R;T;1;2;no;3;3;3;0;1;2
M;R;T;1;0;no;3;5;5;8;2;5
F;R;T;3;2;yes;4;2;2;0;2;2
F;U;T;1;0;yes;4;3;3;0;1;2
F;U;T;1;0;yes;3;4;4;12;1;3
F;U;A;1;0;no;3;2;1;16;1;4
M;R;T;2;0;yes;5;3;3;0;1;1
F;U;T;3;0;yes;4;3;3;0;1;1
M;R;T;2;0;no;5;4;5;0;2;4
F;U;A;1;2;yes;4;3;2;0;1;1
M;U;T;2;1;yes;4;4;4;0;1;3
F;U;T;1;0;no;4;3;2;0;1;1
M;U;T;4;0;no;2;2;2;0;1;1
M;U;T;1;2;no;2;3;3;8;2;2
F;U;T;3;0;no;4;2;2;2;1;1
F;U;T;1;0;no;3;4;4;2;3;3
M;U;T;1;3;no;5;4;5;0;1;2
F;U;T;2;0;no;4;4;2;0;1;2
F;U;T;2;3;no;3;3;2;0;1;1
F;U;T;2;0;no;4;3;2;2;1;1
M;U;T;1;0;yes;3;3;2;0;2;1
M;U;A;1;3;no;4;5;5;0;2;5
M;U;T;1;3;yes;2;3;5;0;2;5
M;U;T;1;1;yes;4;4;4;6;3;5
F;R;T;3;2;yes;4;2;1;8;2;3
M;U;T;1;3;yes;4;5;4;0;1;1
F;U;T;1;0;yes;4;2;1;0;1;1
M;R;T;2;0;no;4;4;4;2;1;1
M;R;T;1;0;no;2;2;2;8;3;3
F;R;T;1;3;no;5;2;5;6;1;5
M;R;T;1;0;no;4;2;2;2;1;2
M;U;T;2;1;yes;4;5;5;4;4;4
M;R;T;1;2;yes;3;3;2;0;2;2
M;R;T;2;2;yes;4;4;4;6;1;4
M;U;T;1;1;no;4;4;4;0;2;4
M;U;T;1;0;no;5;3;3;2;1;4
M;R;T;2;3;yes;5;3;5;0;1;5
M;U;T;1;1;no;4;5;2;16;1;1
M;U;T;2;0;no;4;3;5;4;2;4
F;U;T;2;0;yes;4;2;3;0;1;1
F;U;T;2;0;no;5;1;5;0;1;1
F;U;T;2;0;yes;4;4;2;0;1;1
M;U;T;1;2;no;3;4;5;0;2;4
M;U;T;2;0;yes;4;3;2;2;1;1
M;U;T;2;0;no;4;4;4;0;1;3
F;U;T;2;3;yes;4;3;5;0;1;1
F;U;T;2;0;no;4;4;5;4;1;1
M;U;T;2;0;no;4;4;4;4;4;4
F;U;T;2;0;no;3;4;4;2;1;4
M;U;T;2;0;no;4;3;4;4;1;4
M;R;T;1;0;yes;4;3;3;10;3;4
M;U;T;2;0;yes;5;2;3;4;1;1
M;U;T;2;0;no;3;4;3;10;2;3
M;U;T;2;0;yes;4;2;3;2;1;2
F;U;T;2;0;no;5;4;2;0;2;3
F;U;T;2;0;yes;5;3;3;56;2;3
F;U;T;2;0;no;1;2;2;14;1;2
M;U;T;2;0;yes;4;3;4;12;2;3
M;U;T;1;0;yes;3;3;3;2;1;2
M;U;T;2;0;yes;4;2;3;0;1;2
F;U;A;2;0;yes;3;3;3;6;1;3
M;R;T;2;0;no;3;1;3;4;1;5
F;U;T;2;0;no;4;3;3;10;1;1
F;U;T;2;0;no;5;3;3;0;1;1
M;U;T;2;0;no;4;4;4;12;4;5
M;R;T;1;0;no;4;3;2;8;3;4
M;U;T;1;0;no;5;3;3;0;1;1
F;U;T;2;0;yes;4;3;2;0;1;1
M;U;T;1;0;no;5;2;3;4;1;2
M;R;T;1;0;no;3;3;4;8;3;5
F;U;T;1;1;no;4;2;4;24;2;3
F;U;T;2;0;no;4;5;2;0;1;2
F;U;T;2;0;no;4;3;5;2;1;5
F;U;T;2;0;no;4;4;3;6;1;3
F;U;T;2;0;no;4;4;4;4;1;3
F;R;T;1;0;no;5;3;2;18;1;2
F;R;T;4;0;no;5;3;5;6;1;1
F;U;T;3;1;yes;4;4;3;28;3;4
F;U;A;2;3;no;2;3;3;5;2;2
F;U;T;2;0;yes;1;3;2;10;1;1
F;U;T;1;0;no;4;3;2;6;1;4
F;R;T;3;0;yes;4;4;2;6;1;1
F;U;T;4;0;no;4;3;3;10;1;2
M;U;T;2;0;yes;5;3;5;13;4;5
F;U;A;2;0;no;3;3;4;0;1;1
M;U;T;2;1;no;4;4;4;15;2;4
F;R;T;1;0;no;5;2;1;12;1;2
F;U;T;2;0;no;4;4;4;2;1;3
F;U;T;2;2;yes;3;4;5;22;2;4
M;U;T;2;1;no;3;2;4;13;2;4
F;U;T;1;0;no;3;3;3;3;1;4
F;U;T;3;0;no;4;3;3;4;1;1
F;R;T;2;0;no;4;2;5;2;1;2
F;U;T;3;1;yes;4;3;4;0;1;1
F;U;T;2;0;no;2;3;1;2;1;1
M;U;T;2;0;no;3;3;3;0;5;5
F;U;T;3;0;no;5;3;2;0;1;1
F;R;T;2;1;yes;5;3;3;16;1;1
F;U;T;2;0;no;5;3;4;10;1;3
M;U;T;2;0;no;5;3;3;2;1;3
M;U;T;2;0;yes;4;3;2;14;4;5
F;U;A;3;0;yes;3;2;3;10;1;2
F;U;T;2;0;yes;3;2;3;14;1;2
M;R;T;2;0;no;4;5;2;4;1;1
M;U;T;2;0;yes;4;5;5;14;1;3
M;U;T;2;0;no;4;2;4;2;2;4
M;U;T;2;0;no;3;4;2;18;1;1
M;U;T;3;0;yes;5;3;3;10;1;3
M;U;T;2;0;yes;4;4;2;4;5;5
F;U;T;1;0;yes;4;5;2;20;1;1
F;R;T;2;0;no;2;1;1;2;1;1
M;U;T;2;1;no;5;5;4;0;3;5
M;U;T;2;0;yes;2;5;5;14;1;4
M;R;A;2;0;no;3;3;3;2;2;3
M;U;T;1;0;no;5;4;5;0;1;1
M;U;T;1;0;no;5;3;2;0;1;2
F;U;T;3;0;yes;4;4;4;0;1;1
M;U;T;1;0;no;4;3;3;6;1;1
M;U;T;1;0;no;5;2;2;4;1;1
M;U;T;1;3;yes;5;4;5;16;5;5
M;R;T;2;1;yes;4;3;3;8;1;3
M;U;T;1;0;no;4;3;2;0;2;4
M;U;T;1;1;no;4;4;5;0;2;4
M;U;T;2;0;no;5;3;3;6;1;3
M;U;T;1;1;no;3;2;5;4;2;5
M;R;T;1;0;no;3;3;2;0;1;3
M;R;T;1;0;no;4;4;2;0;2;4
M;U;T;1;1;no;4;4;4;2;1;2
F;U;T;4;0;no;4;2;3;6;1;1
M;U;A;2;0;no;4;3;1;12;1;1
M;U;T;2;0;no;5;2;4;8;1;2
F;U;T;4;0;yes;3;4;1;0;1;1
F;U;T;2;0;yes;3;1;2;21;1;3
M;U;T;2;0;no;4;3;2;2;1;1
M;R;T;3;0;no;5;3;2;1;1;1
F;U;T;3;0;no;3;2;3;4;1;1
F;U;T;3;0;yes;4;3;3;0;1;1
M;R;A;2;0;no;4;2;5;13;3;4
M;U;T;2;0;yes;5;4;4;2;3;4
F;R;T;2;0;no;4;3;4;8;2;2
M;U;T;2;0;yes;5;4;5;10;1;3
F;R;T;2;0;yes;4;3;5;0;1;2
F;U;T;2;2;no;4;3;5;15;3;3
F;U;T;4;0;yes;4;5;5;4;1;3
F;U;T;2;0;no;4;4;3;2;1;1
M;R;T;2;0;yes;3;5;2;2;2;2
F;U;T;2;0;yes;4;3;3;2;1;1
F;U;T;2;0;yes;4;4;4;6;2;3
F;R;A;2;0;yes;4;1;1;75;1;1
M;U;T;1;0;no;3;2;4;22;1;4
F;U;T;2;1;yes;2;4;4;15;1;1
M;U;T;1;0;no;4;2;3;8;1;2
M;U;A;1;0;yes;4;5;4;30;2;4
M;U;A;1;1;no;4;4;4;19;3;4
F;R;T;4;0;no;5;2;2;1;1;1
F;U;T;2;0;no;5;4;4;4;1;1
F;U;T;2;0;no;5;4;5;4;1;2
M;U;T;2;0;no;4;3;3;2;1;2
F;U;T;3;0;no;4;3;3;5;1;2
F;U;T;3;0;no;4;3;3;6;1;1
M;U;T;3;0;no;4;2;4;6;1;3
M;U;A;2;0;no;5;4;3;9;1;1
M;U;T;2;0;yes;4;3;2;11;1;4
F;U;T;3;0;no;4;2;2;0;1;2
F;U;T;2;1;yes;5;4;3;12;1;1
F;R;T;4;0;no;3;1;2;6;1;1
M;R;T;3;0;no;5;4;2;8;1;1
M;U;T;1;0;no;4;4;3;4;1;3
F;U;T;2;0;no;2;3;4;0;2;3
F;U;T;2;0;yes;4;4;5;10;1;2
F;U;T;4;0;no;4;3;3;0;1;1
M;U;T;1;0;yes;1;4;2;5;2;2
F;U;A;2;0;yes;4;2;4;14;1;1
M;U;T;1;0;no;4;1;1;0;2;2
F;U;T;3;0;no;4;3;3;0;1;1
F;U;T;4;0;no;5;2;2;0;1;2
M;U;T;2;1;yes;4;4;4;20;1;1
F;U;T;2;1;no;4;4;3;8;1;1
M;U;A;1;0;no;5;5;3;0;1;1
M;U;T;1;1;yes;4;3;4;38;1;1
M;R;T;2;1;yes;4;5;3;0;1;2
F;U;T;2;1;no;4;4;3;18;1;3
F;U;T;2;1;yes;4;2;4;0;2;2
F;U;T;2;0;yes;3;4;1;20;1;1
M;U;T;2;1;no;4;5;2;3;2;2
F;U;T;2;1;yes;4;2;2;22;1;2
F;U;T;3;2;yes;4;1;2;14;1;1
F;R;T;3;1;yes;4;1;2;40;1;1
F;U;T;2;0;no;5;3;3;0;1;2
F;U;T;3;0;yes;4;3;4;9;1;1
F;R;T;3;0;no;4;3;4;0;2;5
F;U;T;2;0;no;4;4;4;2;3;3
F;U;A;2;0;yes;5;2;2;23;1;2
F;U;T;2;0;yes;4;2;2;12;1;1
F;R;T;3;0;no;3;3;2;3;2;2
F;U;T;3;0;no;3;4;3;1;2;3
F;U;T;3;0;no;3;3;3;0;2;3
M;U;T;3;0;no;4;3;3;3;2;2
M;U;T;1;0;no;4;3;5;3;3;5
M;R;T;1;0;no;4;4;5;8;5;5
F;U;T;3;0;no;5;4;4;7;1;3
F;U;T;3;0;yes;4;3;3;4;1;2
M;U;T;4;0;no;4;5;5;2;2;4
F;R;T;3;0;yes;4;4;3;7;1;1
F;U;T;2;0;no;5;3;4;0;1;1
F;U;T;2;0;yes;4;3;3;0;1;1
F;R;T;4;0;no;4;4;4;0;1;1
F;U;T;3;0;no;4;4;5;16;1;3
F;R;A;3;1;no;5;4;3;12;1;2
F;U;T;2;0;yes;4;3;2;0;2;3
F;U;T;4;0;no;5;3;3;7;1;1
F;R;A;2;0;no;4;3;3;4;2;3
F;U;T;3;1;yes;4;3;4;4;1;3
M;U;T;2;1;no;4;3;3;0;2;2
M;U;T;2;0;yes;4;3;3;11;1;3
F;U;A;2;1;yes;3;3;1;0;1;2
F;U;T;3;0;no;4;3;3;4;1;2
F;U;T;3;0;yes;5;4;3;7;2;3
M;R;T;3;0;yes;5;3;2;9;1;2
M;U;T;3;0;yes;5;4;5;0;2;3
F;U;T;3;0;yes;4;4;3;0;1;3
M;R;T;1;1;no;2;5;5;10;5;5
M;R;T;2;3;no;5;4;4;8;3;3
M;U;T;2;0;no;4;5;4;2;2;3
M;U;T;1;1;yes;4;3;3;7;2;3
M;R;T;1;1;no;4;4;4;4;3;3
M;R;T;2;0;yes;4;5;5;4;1;3
F;U;T;2;0;yes;5;3;4;0;1;1
F;R;T;2;0;no;4;3;3;4;1;2
F;U;A;2;0;yes;1;2;3;2;1;2
M;U;T;1;0;yes;3;3;2;4;1;2
F;U;T;3;0;no;5;3;2;0;1;1
F;R;A;2;0;yes;4;3;4;0;1;4
M;R;T;2;1;no;4;4;3;2;2;3
F;U;T;2;0;yes;4;3;2;0;1;3
F;U;T;2;0;yes;2;3;4;0;1;1
F;R;T;2;0;no;3;2;2;0;1;2
M;R;T;2;0;no;3;3;4;4;2;4
M;U;T;3;0;yes;4;2;2;0;2;2
F;R;T;1;1;yes;5;2;1;0;1;2
F;U;T;1;0;yes;5;2;3;0;1;2
F;R;T;2;0;yes;3;2;2;10;4;2
F;U;T;2;2;yes;3;2;2;4;1;1
M;R;T;1;0;yes;4;3;3;3;2;3
F;U;T;3;0;yes;3;4;3;8;1;1
F;R;T;1;0;no;3;5;5;14;1;3
F;R;T;3;0;no;5;4;4;0;1;1
F;R;T;3;0;no;4;3;2;2;1;2
F;U;T;3;2;yes;5;4;3;4;1;1
F;R;T;2;0;no;5;4;3;4;3;4
F;U;T;2;0;yes;4;1;3;0;1;2
F;R;T;2;0;no;4;5;4;17;2;3
M;U;T;2;0;no;3;2;4;4;1;4
M;R;T;1;0;yes;4;4;3;5;1;3
M;U;T;2;0;no;4;4;3;2;1;1
M;R;T;1;1;no;4;3;2;0;1;3
M;R;T;1;1;no;5;4;3;14;4;3
F;R;T;3;0;no;5;3;3;2;1;3
F;R;T;1;0;yes;4;4;3;7;2;2
F;R;T;3;1;no;5;4;2;0;1;2
F;U;T;2;0;no;4;3;4;0;1;1
F;U;T;2;1;no;1;1;1;0;1;1
M;U;A;2;2;no;5;5;4;11;4;5
M;U;T;1;0;no;2;4;5;3;3;4
M;R;T;1;3;no;5;5;3;3;3;3
M;R;T;1;0;no;4;4;1;0;3;4
M;U;T;1;0;no;3;2;3;5;3;3
